Plant,Source,Parameter,Units,TimeStamp,Value,Description
Lake,LAKE-1,GFLOW_BT,100SCFH,3/5/2023 0:00,41251.64718,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,3/6/2023 0:00,57336.7775,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,3/7/2023 0:00,161510.7989,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,3/8/2023 0:00,120820.3827,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,3/9/2023 0:00,48998.78687,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,3/10/2023 0:00,77139.2544,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,3/11/2023 0:00,49976.85606,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,3/12/2023 0:00,10938.03932,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,3/13/2023 0:00,56524.75743,GFLOW Block Total
Lake,LAKE-1,GFLOW_BT,100SCFH,3/14/2023 0:00,80248.45476,GFLOW Block Total
